Title, Platform, Date 
Roswell Fighter Reloaded, iOS, 2013-05-13 
Rebirth of Fortune 2, iOS, 2013-05-11 
Wordy (2013), iOS, 2013-05-10 
Fixie Joe, iOS, 2013-05-10 
Sid Meier's Ace Patrol, iOS, 2013-05-9 
Mosaique, iOS, 2013-05-9 
Yam Yam: Puzzle Guardians, iOS, 2013-05-9 
Daddy Was A Thief, iOS, 2013-05-9 
Las Vegas!, iOS, 2013-05-9 
Running with Friends, iOS, 2013-05-9 
Dig!, iOS, 2013-05-9 
Tasty Tadpoles, iOS, 2013-05-9 
Go Home Dinosaurs, iOS, 2013-05-9 
Blitz Brigade - Online multiplayer shooting action!, iOS, 2013-05-9 
Say the Same Thing, iOS, 2013-05-9 
Mushroom Wars Mini, iOS, 2013-05-9 
Thor: Lord of Storms, iOS, 2013-05-9 
Perfection., iOS, 2013-05-8 
Special Enquiry Detail: Engaged to Kill, iOS, 2013-05-8 
Boom!, iOS, 2013-05-8 
Bellyfish, iOS, 2013-05-8 
I AM MT: Card Battle, iOS, 2013-05-7 
RPG End of Aspiration, iOS, 2013-05-7 
Dumb Ways to Die, iOS, 2013-05-7 
Wordshift Academy: word puzzle, iOS, 2013-05-7 
2020: My Country, iOS, 2013-05-7 
Factory Balls: official, iOS, 2013-05-7 
Dragon Swarm, iOS, 2013-05-7 
Cute Heroes, iOS, 2013-05-6 
Rootwork, iOS, 2013-05-6 
Healer: A Light in the Darkness, iOS, 2013-05-6 
WazHack, iOS, 2013-05-6 
Dash & Bash, iOS, 2013-05-5 
Demon Chic, iOS, 2013-05-5 
LEGO Star Wars: The Yoda Chronicles, iOS, 2013-05-4 
Nikko RC Racer, iOS, 2013-05-4 
Tomb Breaker, iOS, 2013-05-3 
Wizard Ops Tactics, iOS, 2013-05-2 
Star Command, iOS, 2013-05-2 
Sorcery!, iOS, 2013-05-2 
Dark Avenger, iOS, 2013-05-2 
Ninja Striker!, iOS, 2013-05-2 
Heads Up! (2013), iOS, 2013-05-2 
Angry Birds Friends, iOS, 2013-05-2 
Paper Titans, iOS, 2013-05-2 
CandyMeleon, iOS, 2013-05-2 
Oh My Heroes!, iOS, 2013-05-2 
Farm Heroes, iOS, 2013-05-2 
Zoombies: Animales de la Muerte!, iOS, 2013-05-2 
Chuck the Muck, iOS, 2013-05-2 
Catch The Berry, iOS, 2013-05-2 
Stick Stunt Biker 2, iOS, 2013-05-1 
Better than Portal, iOS, 2013-05-1 
The Football Playbook: Tactical Puzzles, iOS, 2013-05-1 
Tipping Point Adventure Game, iOS, 2013-05-1 
Murder Files, iOS, 2013-05-1 
Emilly In Darkness, iOS, 2013-04-30 
Mad Dragon, iOS, 2013-04-30 
Daily Collage - A Hidden Object Game, iOS, 2013-04-30 
Dots: A Game About Connecting, iOS, 2013-04-30 
Eclipse: New Dawn for the Galaxy, iOS, 2013-04-30 
iMech Online, iOS, 2013-04-30 
Leviathan: Warships, iOS, 2013-04-30 
The Stormglass Protocol: Room Escape!, iOS, 2013-04-29 
Right Runner, iOS, 2019-11-19 
Spring Falls, iOS, 2019-11-17 
Rosie's Reality, iOS(Apple Arcade), 2019-11-15 
Battle Breakers, iOS, 2019-11-14 
Disney Frozen Adventures, iOS, 2019-11-12 
Romancing SaGa 3, iOS, 2019-11-11 
Takeshi and Hiroshi, iOS(Apple Arcade), 2019-11-8 
Sociable Soccer, iOS(Apple Arcade), 2019-11-8 
Discolored, iOS(Apple Arcade), 2019-11-8 
Guildlings, iOS(Apple Arcade), 2019-11-8 
OVERDOX, iOS, 2019-11-7 
Rebel Racing, iOS, 2019-11-6 
Raid Manager, iOS, 2019-11-4 
Monomals, iOS(Apple Arcade), 2019-11-1 
The Mosaic, iOS(Apple Arcade), 2019-11-1 
Star Fetched, iOS(Apple Arcade), 2019-11-1 
Gwent: The Witcher Card Game, iOS, 2019-10-29 
Lifelike: Chapter One, iOS(Apple Arcade), 2019-10-25 
Yaga The Roleplaying Folktale, iOS(Apple Arcade), 2019-10-25 
Hogwash, iOS(Apple Arcade), 2019-10-25 
Undead Horde, iOS, 2019-10-24 
Snake Rivals, iOS, 2019-10-23 
The King of Fighters: All Star, iOS, 2019-10-21 
Pac-Man Party Royale, iOS(Apple Arcade), 2019-10-18 
Manifold Garden, iOS(Apple Arcade), 2019-10-18 
Zombieland: Double Tapper, iOS, 2019-10-15 
Arena Allstars, iOS, 2019-10-15 
Bad North: Jotunn Edition, iOS, 2019-10-15 
Starbeard, iOS, 2019-10-15 
Stellaris: Galaxy Command, iOS, 2019-10-15 
reky, iOS, 2019-10-12 
Stela, iOS(Apple Arcade), 2019-10-11 
Inmost, iOS(Apple Arcade), 2019-10-11 
Xenowerk Tactics, iOS, 2019-10-10 
Bounty Hunter Space Lizard, iOS, 2019-10-8 
The Bradwell Conspiracy, iOS(Apple Arcade), 2019-10-5 
Redout: Space Assault, iOS(Apple Arcade), 2019-10-5 
Pilgrims, iOS(Apple Arcade), 2019-10-5 
Dear Esther, iOS, 2019-10-3 
Takoway, iOS, 2019-10-2 
Call of Duty Mobile, iOS, 2019-09-30 
SimpleRockets 2, iOS, 2019-09-29 
Yokai Dungeon, iOS, 2019-09-28 
Elemental Dungeon Online, iOS, 2019-09-26 
Mario Kart Tour, iOS, 2019-09-25 
Jenny LeClue - Detectivu, iOS(Apple Arcade), 2019-09-19 
Oceanhorn 2: Knights of the Lost Realm, iOS(Apple Arcade), 2019-09-19 
Cat Quest II: The Lupus Empire, iOS(Apple Arcade), 2019-09-19 
Frogger in Toy Town, iOS(Apple Arcade), 2019-09-19 
Shinsekai into the Depths, iOS(Apple Arcade), 2019-09-19 
Sayonara Wild Hearts, iOS(Apple Arcade), 2019-09-19 
ChuChu Rocket! Universe, iOS(Apple Arcade), 2019-09-19 
Exit the Gungeon, iOS(Apple Arcade), 2019-09-19 
Overland, iOS(Apple Arcade), 2019-09-19 
