Title, Platform, Date 
The Sinking City, PlayStation 5, February 19, 2021 
3D Billiards: Pool & Snooker Remastered, PlayStation 5, February 19, 2021 
Anodyne 2: Return to Dust, PlayStation 5, February 18, 2021 
UltraGoodness 2, PlayStation 5, February 9, 2021 
The Nioh Collection, PlayStation 5, February 5, 2021 
Nioh 2 Remastered: The Complete Edition, PlayStation 5, February 5, 2021 
Nioh Remastered: The Complete Edition, PlayStation 5, February 5, 2021 
Werewolf: The Apocalypse - Earthblood, PlayStation 5, February 4, 2021 
Destruction AllStars, PlayStation 5, February 2, 2021 
Control: Ultimate Edition, PlayStation 5, February 2, 2021 
The Pedestrian, PlayStation 5, January 29, 2021 
Mobile Suit Gundam: Battle Operation 2, PlayStation 5, January 28, 2021 
Immortals Fenyx Rising: A New God, PlayStation 5, January 28, 2021 
The Dark Eye: Chains of Satinav, PlayStation 5, January 27, 2021 
Atelier Ryza 2: Lost Legends & the Secret Fairy, PlayStation 5, January 26, 2021 
Cyber Shadow, PlayStation 5, January 26, 2021 
Renzo Racer, PlayStation 5, January 25, 2021 
Panda Hero Remastered, PlayStation 5, January 22, 2021 
RIDE 4, PlayStation 5, January 21, 2021 
Maiden, PlayStation 5, January 21, 2021 
Hitman 3, PlayStation 5, January 20, 2021 
Crimsonland, PlayStation 5, January 20, 2021 
MXGP 2020 - The Official Motocross Videogame, PlayStation 5, January 14, 2021 
Neon Chrome, PlayStation 5, January 13, 2021 
Outbreak: Lost Hope, PlayStation 5, January 7, 2021 
Outbreak: The Nightmare Chronicles, PlayStation 5, December 31, 2020 
Outbreak: Epidemic, PlayStation 5, December 24, 2020 
Override 2: Super Mech League, PlayStation 5, December 22, 2020 
Infliction: Extended Cut, PlayStation 5, December 22, 2020 
Sparkle 2, PlayStation 5, December 21, 2020 
Outbreak: The New Nightmare, PlayStation 5, December 17, 2020 
Sparkle Unleashed, PlayStation 5, December 16, 2020 
Bridge Constructor: The Walking Dead, PlayStation 5, December 15, 2020 
CRSED: F.O.A.D., PlayStation 5, December 15, 2020 
Shakedown Hawaii, PlayStation 5, December 15, 2020 
Freddy Spaghetti, PlayStation 5, December 15, 2020 
Vigor, PlayStation 5, December 9, 2020 
Puyo Puyo Tetris 2, PlayStation 5, December 8, 2020 
Destiny 2, PlayStation 5, December 8, 2020 
Twin Robots: Ultimate Edition, PlayStation 5, December 7, 2020 
Madden NFL 21, PlayStation 5, December 4, 2020 
FIFA 21 NXT LVL EDITION, PlayStation 5, December 4, 2020 
Tesla vs Lovecraft, PlayStation 5, December 4, 2020 
Immortals Fenyx Rising, PlayStation 5, December 3, 2020 
Haven, PlayStation 5, December 3, 2020 
Worms Rumble, PlayStation 5, December 1, 2020 
Tom Clancy's Rainbow Six Siege, PlayStation 5, December 1, 2020 
Dead by Daylight: A Binding of Kin, PlayStation 5, December 1, 2020 
Warframe, PlayStation 5, November 26, 2020 
Spirit of the North: Enhanced Edition, PlayStation 5, November 26, 2020 
Just Dance 2021, PlayStation 5, November 24, 2020 
Tesla Force, PlayStation 5, November 24, 2020 
