Title, Platform, Date 
Gravity Heroes, PlayStation 4, February 19, 2021 
Persona 5 Strikers, PlayStation 4, February 19, 2021 
PUSS!, PlayStation 4, February 19, 2021 
Steven Universe: Unleash the Light, PlayStation 4, February 19, 2021 
Boom Blaster, PlayStation 4, February 19, 2021 
Blizzard Arcade Collection, PlayStation 4, February 19, 2021 
Natsuki Chronicles, PlayStation 4, February 18, 2021 
Anodyne 2: Return to Dust, PlayStation 4, February 18, 2021 
Arcade Archives: Cybattler, PlayStation 4, February 18, 2021 
Pachi Pachi On A Roll, PlayStation 4, February 18, 2021 
Rodent Warriors, PlayStation 4, February 18, 2021 
The Ramen Sensei, PlayStation 4, February 18, 2021 
Run Little Hero, PlayStation 4, February 18, 2021 
Void Gore, PlayStation 4, February 17, 2021 
Skateboarding - Breakthrough Gaming Arcade, PlayStation 4, February 17, 2021 
Fallen Legion: Revenants, PlayStation 4, February 16, 2021 
Annapurna Interactive Deluxe Limited Edition, PlayStation 4, February 16, 2021 
Speed Limit, PlayStation 4, February 16, 2021 
Necromunda: Underhive Wars - Cawdor Gang, PlayStation 4, February 16, 2021 
Let's Cook Together, PlayStation 4, February 16, 2021 
Moose Life, PlayStation 4, February 16, 2021 
Bullet Beat, PlayStation 4, February 14, 2021 
CAN ANDROIDS PRAY: BLUE, PlayStation 4, February 14, 2021 
Steamroll: Rustless Edition, PlayStation 4, February 12, 2021 
Saboteur SiO, PlayStation 4, February 12, 2021 
Aground, PlayStation 4, February 11, 2021 
Little Nightmares II, PlayStation 4, February 11, 2021 
Sense: A Cyberpunk Ghost Story, PlayStation 4, February 11, 2021 
Romance of the Three Kingdoms XIV: Diplomacy and Strategy Expansion Pack Bundle, PlayStation 4, February 11, 2021 
Knight's Retreat, PlayStation 4, February 11, 2021 
Lizard Lady vs the Cats, PlayStation 4, February 11, 2021 
Game Dev Story, PlayStation 4, February 11, 2021 
Hot Springs Story, PlayStation 4, February 11, 2021 
Dungeon Village, PlayStation 4, February 11, 2021 
On The Road, PlayStation 4, February 11, 2021 
Another Dawn, PlayStation 4, February 11, 2021 
Shoot 1UP DX, PlayStation 4, February 11, 2021 
#SinucaAttack, PlayStation 4, February 10, 2021 
We Were Here, PlayStation 4, February 9, 2021 
My Universe: Pet Clinic Cats and Dogs, PlayStation 4, February 9, 2021 
Tanks vs Tanks, PlayStation 4, February 9, 2021 
UltraGoodness 2, PlayStation 4, February 9, 2021 
Wilmot's Warehouse, PlayStation 4, February 9, 2021 
The King of Fighters 2002 Unlimited Match, PlayStation 4, February 8, 2021 
Georifters, PlayStation 4, February 5, 2021 
Nioh 2: The Complete Edition, PlayStation 4, February 5, 2021 
Arrog, PlayStation 4, February 5, 2021 
How to Take Off Your Mask Remastered, PlayStation 4, February 5, 2021 
Valentine Candy Break, PlayStation 4, February 5, 2021 
Glittering Sword, PlayStation 4, February 5, 2021 
Roombo: First Blood, PlayStation 4, February 5, 2021 
Werewolf: The Apocalypse - Earthblood, PlayStation 4, February 4, 2021 
Arcade Archives: Ninja Kazan, PlayStation 4, February 4, 2021 
Habroxia 2, PlayStation 4, February 3, 2021 
Spice and Wolf VR 2, PlayStation 4, February 3, 2021 
Ys IX: Monstrum Nox, PlayStation 4, February 2, 2021 
Silver Chains, PlayStation 4, January 29, 2021 
Bonkies, PlayStation 4, January 29, 2021 
Re:ZERO - Starting Life in Another World: The Prophecy of the Throne, PlayStation 4, January 29, 2021 
The Pedestrian, PlayStation 4, January 29, 2021 
Caves and Castles: Underworld, PlayStation 4, January 29, 2021 
Space Break Head to Head, PlayStation 4, January 29, 2021 
Disjunction, PlayStation 4, January 28, 2021 
TOHU, PlayStation 4, January 28, 2021 
Marchen Forest, PlayStation 4, January 28, 2021 
Sword of the Necromancer, PlayStation 4, January 28, 2021 
Citizens Unite!: Earth x Space, PlayStation 4, January 28, 2021 
Olija, PlayStation 4, January 28, 2021 
Gods Will Fall, PlayStation 4, January 28, 2021 
Colossus Down, PlayStation 4, January 28, 2021 
Immortals Fenyx Rising: A New God, PlayStation 4, January 28, 2021 
Arcade Archives: Halley's Comet, PlayStation 4, January 28, 2021 
Aery - Little Bird Adventure, PlayStation 4, January 28, 2021 
Flatland: Prologue, PlayStation 4, January 28, 2021 
PokerStars VR, PlayStation 4, January 28, 2021 
Prison Architect: Going Green, PlayStation 4, January 28, 2021 
The Dark Eye: Memoria, PlayStation 4, January 27, 2021 
The Dark Eye: Chains of Satinav, PlayStation 4, January 27, 2021 
Project Starship X, PlayStation 4, January 27, 2021 
Cyber Shadow, PlayStation 4, January 26, 2021 
Atelier Ryza 2: Lost Legends & the Secret Fairy, PlayStation 4, January 26, 2021 
Dead Cells: Fatal Falls, PlayStation 4, January 26, 2021 
My Universe: My Baby, PlayStation 4, January 26, 2021 
