Title, Platform, Date 
The Sims 4: Paranormal Stuff Pack, PlayStation 4, January 26, 2021 
Vera Blanc: Ghost In The Castle, PlayStation 4, January 26, 2021 
Radio Commander, PlayStation 4, January 25, 2021 
Papa's Quiz, PlayStation 4, January 24, 2021 
Redout: Space Assault, PlayStation 4, January 22, 2021 
Memoranda, PlayStation 4, January 22, 2021 
Timothy and the Mysterious Forest, PlayStation 4, January 22, 2021 
Bullet Roulette, PlayStation 4, January 21, 2021 
Arcade Archives: Block Hole, PlayStation 4, January 21, 2021 
Space Break, PlayStation 4, January 21, 2021 
Teratopia, PlayStation 4, January 20, 2021 
Hitman 3, PlayStation 4, January 20, 2021 
Helheim Hassle, PlayStation 4, January 20, 2021 
The King of Fighters XIV: Ultimate Edition, PlayStation 4, January 20, 2021 
Waves Out!, PlayStation 4, January 20, 2021 
Turrican Flashback, PlayStation 4, January 19, 2021 
JankBrain, PlayStation 4, January 19, 2021 
